Country,Site,Sub-site,latitude,longitude
Burkina Faso,Oursi,Oursi Nord,14.778709,-0.50154
Burkina Faso,Oursi,Oursi Cité,14.67417,-0.466642
Burkina Faso,Oursi,Oursi SSG siège,14.672487,-0.446583
Burkina Faso,Oursi,Oursi Camp,14.671417,-0.446444
Burkina Faso,Oursi,Oursi Jardin,14.669165,-0.474793
Burkina Faso,Oursi,Oursi Lac,14.669024,-0.445674
Burkina Faso,Oursi,Oursi Est,14.665755,-0.446208
Burkina Faso,Oursi,Oursi Ouest,14.665606,-0.486461
Burkina Faso,Oursi,Oursi Sud,14.656644,-0.450147
Burkina Faso,Oursi,Oursi Sud  Ouest,14.647457,-0.472994
Burkina Faso,Gonsée Village,Gonsée roadside,12.45874,-1.31996
Burkina Faso,Koubri ,Monastère de Koubri,12.218456,-1.351113
Burkina Faso,Nazinga,Nazinga Village,11.189663,-1.623075
Burkina Faso,Nazinga,Nazinga Camp,11.155132,-1.611803
Burkina Faso,Nazinga,Nazinga Lake,11.150644,-1.585291
Burkina Faso,Nazinga,Nazinga Barka Promontory,11.14264,-1.61152
Burkina Faso,Nazinga,Barka Barrage,11.141852,-1.608212
Burkina Faso,Nazinga,Nazinga Picnic,11.139848,-1.60858
Ghana,Bolgatanga,Airstrip Entrance,10.80102,-0.98415
Ghana,Gbele RR,Wahabu Bridge,10.396631,-2.065416
Ghana,Damongo,Mole National Park,9.246888889,-1.857527778
Ghana,Damongo,Mole National Park 2,9.246888889,-1.857527778
Ghana,Damongo,Damongo Dam,9.106666667,-1.820833333
Ghana,Damongo,Damongo Forest Edge,9.084722222,-1.788055556
Ghana,Damongo,Jez's study site,9.084009,-1.776307
Ghana,Nsoatre,North Side,7.418017,-2.486292
Ghana,Nsoatre,South Side,7.416902,-2.486579
Ghana,Nsoatre,Old Roadside,7.41449,-2.4844
Ghana,Kogyae,Kogyae Forest Dam,7.308333333,-1.1675
Ghana,Kogyae,Kogyae Fields,7.304722222,-1.185
Ghana,Jamasi,GBC TV,6.9988,-1.44544
Ghana,Pepease,Bird 4 Glade,6.665505,-0.707918
Ghana,Pepease,Felled Tree,6.664569,-0.70313
Ghana,Pepease,Bird 3 Path,6.664403,-0.697149
Ghana,Pepease,Bird 2 Path,6.662007,-0.70018
Ghana,Pepease,Village Track,6.661332,-0.705737
Ghana,Pepease,Alice's,6.660012,-0.708253
Ghana,Mpraeso,"Odwenanoma ""Hairpin""",6.58037,-0.75342
Ghana,Mpraeso,Odwenanoma Mountain ,6.57754,-0.76187
Ghana,Kakum,Kakum Scrub,5.450833333,-1.418888889
Ghana,Kakum,Kakum Forest Edge,5.3575,-1.397222222
Ghana,Ankasa,Elubo (King James Hotel),5.284722222,-2.747222222
Ghana,Brenu,Brenu Inland,5.081388889,-1.418333333
Ghana,Brenu,Brenu Lagoon,5.073055556,-1.423888889
Ghana,Brenu,Brenu Beach,5.069214,-1.42196
